Position_title,organization_hiring,duty_station,position_status,date_posted,limit_date,job_description
Argonaut PA&S Manager,European Space Agency (ESA),,,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54176144
Electronics Designer & FPGA Firmware Programmer (SY-RF-FB-2023-13-LD),European Council for Nuclear Research (CERN),Geneva (Switzerland),,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54173885
Research Assistant on Agriculture and Livelihood,United Nations Economic and Social Commission for Western Asia (UNESCWA),Beirut (Lebanon),,Posted 3 days ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/54172577
Research Assistant,United Nations Economic and Social Commission for Western Asia (UNESCWA),Beirut (Lebanon),,Posted 3 days ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/54172576
INFORMATION MANAGEMENT OFFICER [Temporary],United Nations Office for the Coordination of Humanitarian Affairs (OCHA),Dakar (Senegal),Mid-level Professional,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54172563
Consultant - Graphic Design Expert (Level C),United Nations Environment Programme (UNEP),Bonn (Germany),Consultancy,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54172559
Section Head (Nuclear Power Technology Development)(P5),International Atomic Energy Agency (IAEA),Vienna (Austria),Chief and Senior Professional,Posted 3 days ago,Close on 13 Mar 2023,https://www.unjobnet.org/jobs/detail/54171407
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
International Consultant - Cultural Statistics Expert,United Nations Development Programme (UNDP),Riyadh (Saudi Arabia),Chief and Senior Professional,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54167371
"Project Analyst (Artificial Intelligence) (NPSA-8), Multiple Post: Full-time and Part-time (60%)",United Nations Development Programme (UNDP),Belgrade (Serbia),Consultancy,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54167367
Data Quality Officer,World Health Organization (WHO),Dubai (United Arab Emirates),Mid-level Professional,Posted 3 days ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54166589
"EDITORIAL AND DESKTOP PUBLISHING ASSISTANT, FRENCH",United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP),Bangkok (Thailand),General Support,Posted 3 days ago,Close on 14 Mar 2023,https://www.unjobnet.org/jobs/detail/54163308
INFORMATION SYSTEMS OFFICER,United Nations Economic Commission for Europe (UNECE),Geneva (Switzerland),Mid-level Professional,Posted 3 days ago,Close on 14 Mar 2023,https://www.unjobnet.org/jobs/detail/54163297
Research Associate for Data Analysis – Food Environment and Consumer Behavior (FECB) Asia,Bioversity International,,,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54161791
"Research Specialist, ECPGR (Rome, Italy)",Bioversity International,Rome (Italy),,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54161790
Intern - Video & Graphic design,United Nations System Staff College (UNSSC),,Intern,Posted 3 days ago,Close on 13 Mar 2023,https://www.unjobnet.org/jobs/detail/54160312
IT Support Technician(G5),International Atomic Energy Agency (IAEA),Vienna (Austria),General Support,Posted 3 days ago,Close on 13 Mar 2023,https://www.unjobnet.org/jobs/detail/54159998
Consultant - WHO Ethics of Research Priority setting project,World Health Organization (WHO),Multiple locations,,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54159820
Data Manager,World Health Organization (WHO),Brazzaville (Republic of the Congo),Full-time,Posted 3 days ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/54159818
"Scientist, Research for Implementation",World Health Organization (WHO),Geneva (Switzerland),Mid-level Professional,Posted 3 days ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54159817
Consultant National pour l’appui d’urgence à la surveillance des PFA & autres MEV,World Health Organization (WHO),Antananarivo (Madagascar),Consultancy,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54159816
E T Consultant - Research - Other,International Finance Corporation (IFC),Washington DC (United States),,Posted 3 days ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/54159424
E T Consultant - Business Process Lead Developer - Information Technology,International Finance Corporation (IFC),Washington DC (United States),,Posted 3 days ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/54159423
Evaluation Data Associate,Green Climate Fund (GCF),Incheon (South Korea),,Posted 4 days ago,,https://www.unjobnet.org/jobs/detail/54153314
Local Researcher Mali (Gender/PVE),United Nations Interregional Crime and Justice Research Institute (UNICRI),Turin (Italy) Mali,,Posted 3 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54152049
Local Researcher Niger (Gender/PVE),United Nations Interregional Crime and Justice Research Institute (UNICRI),Turin (Italy),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54152048
Local Researcher Mauritania (Gender/PVE),United Nations Interregional Crime and Justice Research Institute (UNICRI),Turin (Italy),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54152047
Information Management Specialist-UN OCHA,United Nations Development Programme (UNDP),Suva (Fiji),Mid-level Professional,Posted 4 days ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54151521
Audit Specialist (Information Systems)/Senior Audit Specialist (Information Systems) / 230038,Asian Development Bank (ADB),Manila (Philippines),Full-time,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54151269
"VN 2023 39 ICT Officer (Change, Knowledge Management and Learning) (P3) Valencia, Spain",International Organization for Migration (IOM),Valencia (Spain),Mid-level Professional,Posted 4 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54151122
Roster for Integrated Health Information Platform (IHIP) – IT Service Desk Analyst,World Health Organization (WHO),New Delhi (India) Delhi (India),Roster/Talent Pool,Posted 4 days ago,Close on 12 Mar 2023,https://www.unjobnet.org/jobs/detail/54150783
Data Management Assistant,WorldFish,,,Posted 4 days ago,Close on 12 Mar 2023,https://www.unjobnet.org/jobs/detail/54149566
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Programmer (Developer for Web Application) (Adv#66/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 5 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54106372
Statistician [Temporary],United Nations Department of Economic and Social Affairs (UN DESA),New York (United States),Mid-level Professional,Posted 6 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54055756
Senior Information Systems Assistant,United Nations Secretariat (UN),New York (United States),Associate,Posted 6 days ago,Close on 11 Mar 2023,https://www.unjobnet.org/jobs/detail/54055755
RESEARCH ASSISTANT,United Nations Secretariat (UN),New York (United States),Associate,Posted 6 days ago,Close on 11 Mar 2023,https://www.unjobnet.org/jobs/detail/54055753
WASH Manager,Danish Refugee Council (DRC),,,Posted 6 days ago,Closing soon: 25 Feb 2023,https://www.unjobnet.org/jobs/detail/54054716
Caribbean diaspora groups survey (Empresas),International Organization for Migration (IOM),,Consultancy,Posted 6 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54054338
Suriname diaspora groups survey (Empresas),International Organization for Migration (IOM),,Consultancy,Posted 6 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54054337
Israel and Palestine Assistant Researcher,Human Rights Watch,Israel,,Posted 6 days ago,Close on 5 Mar 2023,https://www.unjobnet.org/jobs/detail/54052265
Researcher Zanzibar: Youth Upskilling Strategy,United Nations Development Programme (UNDP),Tanzania,Consultancy,Posted 6 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54043294
E T Consultant - Lead Developer (Cloud) - Information Technology,International Finance Corporation (IFC),Chennai (India),,Posted 6 days ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/54042095
"Information Management Officer, NO-B (Fixed-Term), #00123424 Tripoli (Libya)",United Nations Children's Fund (UNICEF),Libya,Entry Professional,Posted 6 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54039091
"SVN 2023 36 Programme Coordinator (Water Sanitation and Hygiene (WASH)) (P3) Port-au-Prince, Haiti",International Organization for Migration (IOM),Haiti,Mid-level Professional,Posted 6 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54038085
E T Consultant - Lead Developer (Cloud) - Information Technology,World Bank,Chennai (India),,Posted 6 days ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/54037335
Telecommunications/ Network Engineer- Fixed Term- For Internal and External Candidates- Field Office Jerusalem- Grade,United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),Jerusalem (Israel),Full-time,Posted 6 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54034381
Data Governance Analyst,World Food Programme (WFP),Italy,,Posted 6 days ago,Closing soon: 25 Feb 2023,https://www.unjobnet.org/jobs/detail/54033507
"Call for Consultants - Monitoring, Evaluation, Research, and Learning Proposal Writers",Winrock International,Remote Work,,Posted 6 days ago,,https://www.unjobnet.org/jobs/detail/54033072
Spezialist*in SAP Basisadministration - ICT and Digitalisation,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Bonn (Germany),Full-time,Posted 6 days ago,,https://www.unjobnet.org/jobs/detail/54032608
IT-Systemadministrator*in SAP - ICT and Digitalisation,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Bonn (Germany),Full-time,Posted 6 days ago,,https://www.unjobnet.org/jobs/detail/54032607
(Inhouse) UX Expert*in/ Designer*in - ICT and Digitalisation,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Eschborn (Germany),Chief and Senior Professional,Posted 6 days ago,,https://www.unjobnet.org/jobs/detail/54032606
Traineeship in Data Analytics,International Committee of the Red Cross (ICRC),,Internship,Posted 6 days ago,,https://www.unjobnet.org/jobs/detail/54031338
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
Surveillance and SIA Officer,World Health Organization (WHO),Malawi,Full-time,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030838
National Level Surveillance Oficer,World Health Organization (WHO),Nairobi (Kenya),Full-time,Posted 6 days ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/54030837
Consultant - Data Scientist for Pandemic and Epidemic Intelligence,World Health Organization (WHO),Multiple locations,,Posted 6 days ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/54030836
Natural Resources GIS-RS and Land Cover Specialist,Food and Agriculture Organization (FAO),Riyadh (Saudi Arabia),Consultancy,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030694
Data Scientist (NPSA),United Nations University (UNU),Pretoria (South Africa),Consultancy,Posted 6 days ago,Close on 12 Mar 2023,https://www.unjobnet.org/jobs/detail/54022276
Post-Doctoral Fellow (Data Systems),WorldFish,,,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/54020287
Researcher - Digital Technology & SDGs (PSA contract),United Nations University (UNU),Macao,Consultancy,Posted 1 week ago,Close on 10 Mar 2023,https://www.unjobnet.org/jobs/detail/54017509
INFORMATION SYSTEMS OFFICER,United Nations Secretariat (UN),New York (United States),Mid-level Professional,Posted 1 week ago,Close on 25 Mar 2023,https://www.unjobnet.org/jobs/detail/54012084
Consultant for Egypt to support micro and macro-level data,International Food Policy Research Institute (IFPRI),Cairo (Egypt),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54010733
"Berater*in des Projekts Klassifizierung, Kennzeichnung und Steuerung von Informationen - ICT and Digitalisation",Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Eschborn (Germany),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54010318
"Consultoría Internacional: Coordinador de Encuesta de Indicadores Múltiples por Conglomerados MICS en Nicaragua, 9 meses",United Nations Children's Fund (UNICEF),Nicaragua,,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54006346
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Communication and Information Management Assistant,International Labour Organization (ILO),Beirut (Lebanon),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004332
Senior Environmental Specialist/ Engineer - Environment,World Bank,Beirut (Lebanon),,Posted 1 week ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/54003320
Social Equity Research & Storytelling Intern Associate (Unpaid role),Ashoka,Arlington (United States),Internship,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54002746
Business and Human Rights Researcher/Advisor,Amnesty International,United KingdomIreland,,Posted 1 week ago,Close on 2 Mar 2023,https://www.unjobnet.org/jobs/detail/54002733
"Project Manager, Common Funded Integrated Resources Information System (CIRIS)",The North Atlantic Treaty Organization (NATO),Brussels (Belgium),Full-time,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/54002054
INTERN - URBAN PLANNING AND GIS [Temporary],United Nations Human Settlements Programme (UN-HABITAT),Nairobi (Kenya),Intern,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54000291
SUPPLY CHAIN BUSINESS INTELLIGENCE OFFICER,United Nations Truce Supervision Organization (UNTSO),Bogota (Colombia),Mid-level Professional,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54000278
Researcher to support Empower for Inclusion project context analysis and developing of the full proposal,United Nations Development Programme (UNDP),Dili (East Timor),Consultancy,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53999695
"Asociado(a) Senior de VAM (Vulnerabilidades, Análisis y Mapeo)",World Food Programme (WFP),Guatemala,,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/53999404
Section Head (Deployable Communications and Information Systems Engineering) / Senior Engineer,The North Atlantic Treaty Organization (NATO),Wesel (Germany),Full-time,Posted 1 week ago,Close on 26 Mar 2023,https://www.unjobnet.org/jobs/detail/53997291
Programme Director - Digital Transformation,United Nations Office for Project Services (UNOPS),Copenhagen (Denmark),Chief and Senior Professional,Posted 1 week ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/53994495
Roster of Consultants –GIS Support to HQ/Countries: Geospatial Health Analysts,World Health Organization (WHO),Multiple locations,,Posted 1 week ago,Close on 2 Mar 2023,https://www.unjobnet.org/jobs/detail/53994197
Consultant - GIS Data Management,World Health Organization (WHO),Multiple locations,,Posted 1 week ago,Close on 11 Mar 2023,https://www.unjobnet.org/jobs/detail/53994196
"Consultant – Senior SQL Server Developer, Local (HQ Gaza)",United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),Gaza (Palestinian Territory),,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53990862
INFORMATION SYSTEMS ASSISTANT,The United Nations Office at Geneva (UNOG),Geneva (Switzerland),General Support,Posted 1 week ago,Close on 10 Mar 2023,https://www.unjobnet.org/jobs/detail/53990842
Senior Research Scientist (Updated),"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Trieste (Italy),Mid-level Professional,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53987880
Chargé.e de projet de recherche « les coopérations intergénérationnelles,Ashoka,Paris (France),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53986429
"Research, Monitoring and Evaluation (M&E) Advisor",International Rescue Committee (IRC),Kenya,,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53986428
"Giga Data and Country Coordination Consultant, Office of Innovation, 12 months (remote)",United Nations Children's Fund (UNICEF),SwedenRemote Work,Consultancy,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53984035
"Giga Telecommunications Partnership Consultant, Office of Innovation, Barcelona, Spain, 12 months (remote with travel)",United Nations Children's Fund (UNICEF),Barcelona (Spain) SwedenRemote Work,Consultancy,Posted 1 week ago,Close on 8 Mar 2023,https://www.unjobnet.org/jobs/detail/53984034
User Researcher (NPSA5),United Nations Development Programme (UNDP),Yerevan (Armenia),Full-time,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/53983471
Data Science Assistant - Temporary [Temporary],United Nations Office on Drugs and Crime (UNODC),Vienna (Austria),Associate,Posted 1 week ago,Close on 10 Mar 2023,https://www.unjobnet.org/jobs/detail/53979604
"Individual Consultancy - International consultant to provide technical support to the knowledge, attitudes and practices (KAP) study on the parenting and childcare practices in the Maldives",United Nations Children's Fund (UNICEF),Maldives,Consultancy,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53979597
"Senior IT Officer, Business Solutions (Senior Technical Lead) - Information Technology",International Finance Corporation (IFC),Washington DC (United States),,Posted 1 week ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/53977931
"Senior IT Officer, Business Solutions - Information Technology",International Finance Corporation (IFC),Washington DC (United States),,Posted 1 week ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/53977930
Analyst - Research,European Bank for Reconstruction and Development (EBRD),London (United Kingdom),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53972968
"Program Coordinator & Research Assistant - Project on AI Governance, Strategic Technologies Program",The Center for Strategic and International Studies (CSIS),Washington DC (United States),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967930
ICT Assistant Somalia Garowe,Norwegian Refugee Council (NRC),Garoowe (Somalia),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967676
Consultant for Tajikistan Evaluation and Analysis Household Survey,International Food Policy Research Institute (IFPRI),Tajikistan,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967629
Fullstack Developer,Bioversity International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967389
IT-Berater*in der Stabsstellen Compliance und Integrität sowie Revision - ICT and Digitalisation,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Eschborn (Germany),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967227
Junior-Berater*in Digitalisierung im Vorhaben „Armutsorientierte Kommunalentwicklung und Dezentralisierung - ICT and Digitalisation,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Antananarivo (Madagascar),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967222
"Research Dissemination Intern, Strategy & Insights",Population Services International (PSI),United States,Internship,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53961928
Clinical Research Associate II,FHI 360,South Africa,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53961584
Data & Analytics Manager,International Committee of the Red Cross (ICRC),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53961235
INTERN - ARCHIVES AND RECORDS - INFORMATION MANAGEMENT [Temporary],International Residual Mechanism for Criminal Tribunals (IRMCT),Arusha (Tanzania),Intern,Posted 1 week ago,Close on 30 Dec 2023,https://www.unjobnet.org/jobs/detail/53957377
"ASSOCIATE DEVELOPMENT COORDINATION OFFICER, DATA MANAGEMENT AND RESULTS MONITOR",United Nations Secretariat (UN),Brazzaville (Republic of the Congo),Entry Professional,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53957376
Editorial and Desktop Publishing Assistant (Russian) (TEMPORARY) [Temporary],United Nations Office at Vienna (UNOV),Vienna (Austria),General Support,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53957374
Workday Reporting & Analytics senior Consultant,World Food Programme (WFP),Italy,Consultancy,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/53956497
"Chief P5, Supply Chain Research & Development (SCOD) - Rome, Italy",World Food Programme (WFP),Rome (Italy),Chief and Senior Professional,Posted 1 week ago,Close on 13 Mar 2023,https://www.unjobnet.org/jobs/detail/53956496
CHIME Satellite Engineering and AIV Manager,European Space Agency (ESA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53956212
Data Engineer,Food and Agriculture Organization (FAO),Multiple locations,Consultancy,Posted 1 week ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/53955862
"IT Analyst, Mobility Services - Information Technology",World Bank,Washington DC (United States),,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53955640
Researcher - Libya,Amnesty International,LibyaTunisia,,Posted 1 week ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/53955053
Cybersecurity Manager,European Climate Foundation (ECF),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53954959
Research Scholar in economics of land-based mitigation,International Institute for Applied Systems Analysis (IIASA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53954853
2548 Internship - IT development and eGovernment services (4 positions),United Nations Development Programme (UNDP),Belgrade (Serbia),Internship,Posted 1 week ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/53954644
"National consultant to conduct a Perception Study on the efficacy of COVID 19 risk communication and community engagement approaches among refugee populations in Yumbe, Adjumani and Kyegegwa Districts",United Nations Development Programme (UNDP),Yumbe (Uganda) Kampala (Uganda) Adjumani (Uganda),Consultancy,Posted 1 week ago,Closing soon: 17 Feb 2023,https://www.unjobnet.org/jobs/detail/53952095
IT Solution Architect,World Food Programme (WFP),,,Posted 1 week ago,Close on 2 Mar 2023,https://www.unjobnet.org/jobs/detail/53951815
Software Quality Engineer(P3),International Atomic Energy Agency (IAEA),Vienna (Austria),Mid-level Professional,Posted 1 week ago,Close on 8 Mar 2023,https://www.unjobnet.org/jobs/detail/53951500
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
National Researcher - Water Resources Management,International Water Management Institute (IWMI),Lahore (Pakistan),Locallly Recruited,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950196
Research Scholar - Integrated Assessment Modeling,International Institute for Applied Systems Analysis (IIASA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950174
"Senior Programme Officer, COVAX Data, Monitoring and Insights (Temporary)","Gavi, The Vaccine Alliance (Gavi)",Geneva (Switzerland),,Posted 1 week ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/53949841
Researcher (Antimicrobial Resistance Department) [based in Seoul],International Vaccine Institute (IVI),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53949791
Associate Researcher (Antimicrobial Resistance Department),International Vaccine Institute (IVI),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53949790
"Consultant – SharePoint Online – Developer, (Local); (UNICC Partnership)",United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),Gaza (Palestinian Territory) Remote Work,,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53948031
Editorial and Desktop Publishing Assistant (French) (TEMPORARY) [Temporary],United Nations Office at Vienna (UNOV),Vienna (Austria),General Support,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53948028
INFORMATION MANAGEMENT OFFICER,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),Bangkok (Thailand),Mid-level Professional,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53948023
ICT Assistant (UNOCHA),United Nations Development Programme (UNDP),Afghanistan,General Support,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53947450
"IT Operations Officer (CST-I, International), Chisinau, Moldova",World Food Programme (WFP),Moldova,,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53947174
IT Officer,Danish Refugee Council (DRC),,,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53947002
Information Management Officer Ukraine,Norwegian Refugee Council (NRC),Kyiv (Ukraine),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53946755
Regional Digital Data and Systems Adviser CEE,Norwegian Refugee Council (NRC),Warsaw (Poland),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53946754
"Consultancy for a Firm to conduct survey to support choice experiment analysis for Lake Beseka, Ethiopia",International Food Policy Research Institute (IFPRI),Addis Ababa (Ethiopia),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53946733
ICT Intern,United Nations Office for Project Services (UNOPS),Nairobi (Kenya),Intern,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/53946457
Project Manager (m/f/d) for the digitalization of the Moroccan Administration - ICT and Digitalisation,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Rabat (Morocco),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53946298
Spezialist*in IT-Netzwerk - ICT and Digitalisation,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Bonn (Germany),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53946297
Chef.fe de projet (H / F) pour la digitalisation de l'administration marocaine - ICT and Digitalisation,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Rabat (Morocco),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53946293
"Epidemiologist, Research Associate, Greater Mekong Subregion","The Clinton Health Access Initiative, Inc. (CHAI)",Laos,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53945997
Internal Research Fellow (PostDoc) in Meteoroid Environment Modelling,European Space Agency (ESA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53944724
ILI SARI Data Assistant,World Health Organization (WHO),Jakarta (Indonesia),Full-time,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53944527
Data Manager,World Health Organization (WHO),Dhaka (Bangladesh),Full-time,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53944526
Research Scientist,Partners In Health (PIH),Kigali (Rwanda),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943919
IT Technical Specialist (IT-125),NATO Support and Procurement Agency (NSPA),Capellen (Luxembourg),Associate,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943758
Crop Management-Senior Research Technician,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Patancheru (India),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943533
Consultant- Spatial Data Scientist,Center for International Forestry Research (CIFOR),Nairobi (Kenya),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943531
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Research Software Developer,International Institute for Applied Systems Analysis (IIASA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943389
